aid,n_episodes,eps_present,n_seasons
Dana Carvey,125,123,7
Phil Hartman,153,153,8
Kevin Nealon,173,172,9
A. Whitney Brown,101,56,6
Jon Lovitz,91,91,5
Al Franken,200,99,11
Jan Hooks,93,93,5
Dennis Miller,111,111,6
Tom Davis,56,48,3
Victoria Jackson,113,113,6
Nora Dunn,91,89,5
Leslie Jones,62,62,4
Heidi Gardner,2,2,1
Kate McKinnon,112,112,7
Luke Null,2,1,1
Chris Redd,2,2,1
Cecily Strong,107,107,6
Melissa Villasenor,23,22,2
Kenan Thompson,286,284,15
Beck Bennett,86,86,5
Pete Davidson,65,61,4
Mikey Day,23,23,2
Kyle Mooney,86,86,5
Aidy Bryant,107,106,6
Darrell Hammond,272,267,14
Colin Jost,73,73,5
Michael Che,65,65,4
Alex Moffat,23,21,2
Mark McKinney,51,50,3
Dan Aykroyd,86,84,4
Paul Shaffer,16,12,1
Vanessa Bayer,149,147,7
Sasheer Zamata,74,70,4
Bobby Moynihan,193,192,9
Jimmy Fallon,119,119,6
Rachel Dratch,137,133,7
Tracy Morgan,139,132,7
Tina Fey,119,117,6
Fred Armisen,220,219,11
Jason Sudeikis,163,162,9
Kristen Wiig,135,135,7
Will Forte,155,153,8
Chris Rock,60,56,3
Bill Murray,72,70,4
Taran Killam,128,127,6
Jay Pharoah,128,125,6
Jon Rudnitsky,21,20,1
Andy Samberg,139,138,7
Maya Rudolph,146,132,9
Julia Louis-Dreyfus,56,56,3
Mike O'Brien,21,21,1
Ben Stiller,6,4,1
Amy Poehler,142,139,8
Will Ferrell,139,136,7
Mike Myers,122,115,7
Martin Short,17,17,1
Billy Crystal,17,17,1
Bill Hader,160,159,8
Sarah Silverman,18,16,1
Seth Meyers,253,251,13
John Milhiser,21,20,1
Nasim Pedrad,108,108,5
Noel Wells,21,21,1
Brooks Wheelan,21,21,1
David Koechner,20,20,1
Tim Robinson,21,20,1
Jim Downey,12,6,1
Chevy Chase,30,30,2
Chris Parnell,146,145,8
Abby Elliott,81,81,4
Chris Kattan,145,142,8
Ana Gasteyer,119,119,6
Paul Brittain,34,34,2
Horatio Sanz,158,151,8
Robert Smigel,40,23,2
Jenny Slate,22,22,1
Molly Shannon,118,117,7
Michaela Watkins,15,15,1
Casey Wilson,30,30,2
Norm MacDonald,95,90,5
Nancy Walls,20,20,1
Finesse Mitchell,59,55,3
Tim Meadows,188,181,10
Rob Riggle,20,19,1
Jeff Richards,50,48,3
Jim Belushi,36,30,2
Dean Edwards,40,36,2
Adam Sandler,89,86,5
Rob Schneider,77,70,4
Garrett Morris,106,103,5
Colin Quinn,99,90,5
Jerry Minor,20,19,1
Cheri Oteri,99,98,5
Jim Breuer,60,58,3
Michael McKean,26,26,2
Chris Farley,100,96,5
Robert Downey Jr.,18,18,1
Fred Wolf,23,13,2
Don Novello,38,18,2
Morwenna Banks,4,4,1
Ellen Cleghorne,80,78,4
Chris Elliott,20,20,1
Jay Mohr,38,34,2
Laura Kightlinger,20,19,1
Damon Wayans,12,11,1
Janeane Garofalo,14,14,1
Melanie Hutsell,55,54,3
Julia Sweeney,76,76,4
Tom Schiller,5,1,1
Siobhan Fallon,20,20,1
Beth Cahill,15,13,1
Randy Quaid,18,18,1
Laurie Metcalf,1,1,1
Joan Cusack,18,18,1
Terry Sweeney,18,17,1
Danitra Vance,18,18,1
Anthony Michael Hall,18,15,1
Dan Vitale,18,4,1
Christopher Guest,17,17,1
Gary Kroeger,56,56,3
Mary Gross,76,76,4
Pamela Stephenson,17,17,1
Rich Hall,17,16,1
Harry Shearer,30,30,2
Eddie Murphy,64,64,4
Alan Zweibel,5,3,1
Yvonne Hudson,9,8,1
Joe Piscopo,72,72,4
Brad Hall,39,39,2
Tim Kazurinsky,60,60,4
Robin Duke,60,59,4
Christine Ebersole,20,20,1
Tony Rosato,21,21,2
Brian Doyle-Murray,32,31,2
Emily Prager,1,0,1
John Belushi,86,84,4
Michael O'Donoghue,4,3,1
Denny Dillon,13,13,1
Gail Matthius,13,13,1
Ann Risley,13,12,1
Charles Rocket,13,12,1
Matthew Laurance,10,9,1
Patrick Weathers,10,8,1
Peter Aykroyd,12,9,1
Jane Curtin,106,105,5
Laraine Newman,106,104,5
Gilda Radner,106,103,5
George Coe,1,1,1
